Link,Name,Status
https://genealogy.math.ndsu.nodak.edu/id.php?id=247,Rajbir Dahiya,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=248,Spencer Dickson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=249,James Dyer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=250,James Evans,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=251,Eimear Goggin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=252,William Grayhack,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=253,Maple Hartley,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=254,Thomas Head,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=255,Kenneth Heimes,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=256,Irvin Hentzel,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=257,Xin Gao,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=258,Dio Holl,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=259,Roger Homer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=260,Dean Isaacson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=261,Elgin Johnston,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=262,Fritz Keinert,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=263,Roy Keller,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=264,Wolfgang Kliemann,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=265,Howard Levine,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=266,Glenn Luecke,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=267,Wolodymyr Madych,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=268,Clair Maple,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=269,Richard Miller,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=270,James Murdock,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=271,G. Nariboli,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=272,Michael Barber,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=273,"Justin Peters, III",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=274,Don Pigozzi,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=275,Lyle Pursell,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=276,Donald Sanderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=277,George Seifert,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=278,Michael Smiley,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=279,Jonathan Smith,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=280,Adriaan van de Vooren,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=281,Henry Thielman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=282,Joseph Wedderburn,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=283,Y. Wadhwa,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=284,Harry Weiss,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=285,Fred Wright,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=286,R. L. Moore,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=287,John Kline,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=288,"George Hallett, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=289,Anna Mullikin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=290,Harry Gehman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=291,Raymond Wilder,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=292,Renke Lubben,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=293,Gordon Whyburn,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=294,John Roberts,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=295,Clark Cleveland,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=296,Joe Dorroh,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=297,Charles Vickery,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=298,Edmund Klipple,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=299,Robert Basye,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=300,F. Burton Jones,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=301,Robert Swain,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=302,Robert Sorgenfrey,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=303,Harlan Miller,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=304,"Gail Young, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=305,R  H Bing,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=306,Edwin Moise,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=307,Richard Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=308,Mary Ellen Rudin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=309,Cecil Burgess,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=310,B.J. Ball,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=311,S. Eldon Dyer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=312,Mary-Elizabeth Hamstrom,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=313,John Slye,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=314,John Mohat,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=315,Bennie Pearson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=316,Steve Armentrout,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=317,William Mahavier,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=318,L. Bruce Treybig,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=319,James Younglove,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=320,George Henderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=321,John Worrell Jr.,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=322,Howard Cook,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=323,,Invalid
https://genealogy.math.ndsu.nodak.edu/id.php?id=324,Dennis Reed,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=325,Harvey Baker Jr.,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=326,Blanche Baker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=327,"Roy Davis, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=328,Jack Rogers Jr.,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=329,Martin Secker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=330,David Cook,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=331,John Hinrichsen,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=332,Joel O'Connor,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=333,John Green,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=334,Michael Proffitt,Valid
